14 PYRMONT,151.2,-33.9
14TH PIER STATEN ISL,-74.2,40.6
35TH PIER,-74.0,40.7
35TH ST PIER,-74.0,40.7
36TH ST PIER,-73.9,40.8
3D DOLPHIN,-1.1,50.8
5N KOWLOON,114.2,22.3
5TH ST PIER HOBOKEN,-74.0,40.7
5TH STREET PIER HOBO,-74.0,40.7
6 &amp; 7 WHARF DEVONPOR,-4.2,50.4
9 1 BERTH SCAPA,-3.0,59.0
9 6 BERTH SCAPA,-3.0,59.0
"9 6 BERTH, SCAPA",-3.0,59.0
"91 BERTH, SCAPA",-3.0,59.0
92 BERTH SCAPA,-3.0,59.0
A F D ROTHESAY,-5.1,55.8
AARKUS,10.2,56.1
ABA ZENIMA,33.1,29.0
ABA ZENIMA BAY,33.1,29.0
ABADAN,48.8,30.2
ABADAN AND ASHAT,48.8,30.2
ABADAN.,48.8,30.2
ABBAZIA,12.5,45.7
ABERDEEN,-2.0,57.2
ABERDEEN HARBOUR,114.2,22.2
ABERLADY BAY,-2.9,56.0
ABERYSTWYTH,-4.1,52.4
ABROLHOS,-38.7,-18.0
ABROTHOS,-38.7,-18.0
ABU DHABI,54.4,24.4
ABU ZENIMA,33.1,29.0
ABUDAN,48.8,30.2
ACID BEACH,14.2,37.1
ACID BEACH SICILY,14.2,37.1
ADAMANT,44.2,13.8
ADDU ATOLL,73.2,-0.6
ADDU ATTOL,73.2,-0.6
ADELAIDE,138.6,-34.9
ADEN,45.0,12.8
ADU ATOLL,73.2,-0.6
AGACCIO,8.7,41.9
AIROCHAR,-4.7,56.2
AJACCIO,8.7,41.9
AJMAN,55.4,25.4
AKABA,35.0,29.5
AKAROA,173.0,-43.8
AKREYRI,-18.1,65.7
AKUREYRI,-18.1,65.7
AKURYRI,-18.1,65.7
AKUSEYOI,-18.1,65.7
AKYAB,92.9,20.1
AKYAB (BURMA),92.9,20.1
ALAMEDA (SAN FRANCIS,-122.2,37.8
ALBANY,117.9,-35.0
ALBERT,-3.0,53.4
ALBERTA,13.3,55.6
ALEX,-3.0,53.4
ALEXANDRA DOCK,-3.0,53.4
ALEXANDRIA,29.9,31.2
ALEXANDRIA DOCK,29.9,31.2
ALGER,3.1,36.8
ALGIER,3.1,36.8
ALGIERS,3.1,36.8
AMAY,118.1,24.5
AMORY,118.1,24.5
